,name,album_name,release_date,popularity,duration_ms,explicit
58,Mój Aniele,Mój Aniele,4/24/2018,25,217573,FALSE
59,Remanent,Remanent,2/27/2018,6,188264,FALSE
60,Wielki Dzień,Wielki Dzień,11/23/2017,3,227181,FALSE
61,Kocham Jej Oczy,Kocham Jej Oczy,3/19/2017,17,173940,FALSE
62,Dałem Ci Kwiaty,Dałem Ci Kwiaty,7/11/2016,12,197405,FALSE
63,Oni Tu Są I Grają Dla Nas,Oni Tu Są I Grają Dla Nas,11/12/2015,10,234428,FALSE
64,Każdą Noc i Każdego Dnia,Każdą Noc i Każdego Dnia,10/29/2015,28,192052,FALSE
65,"Wypijemy, Popłyniemy","Wypijemy, Popłyniemy",7/7/2015,28,179397,FALSE
66,Zniosłem Tyle Kłamstw,Zniosłem Tyle Kłamstw,8/6/2014,6,203023,FALSE
67,Zostań na Noc,Zostań na Noc,7/2/2014,6,206262,FALSE
68,Będziesz na Zawsze,Będziesz na Zawsze,12/27/2013,28,215624,FALSE
69,She Dances for Me - Radio Edit,She Dances for Me,12/13/2013,8,234985,FALSE
70,Moje Miasto Nigdy Nie Śpi - Alchemist Project Remix Radio,Moje Miasto Nigdy Nie Śpi,2/17/2013,1,202687,FALSE
71,Ona Tańczy dla Mnie - Extended,Ona Tańczy dla Mnie,7/1/2012,21,263266,FALSE
72,Męska Rzeczywistość - Radio Edit,Męska Rzeczywistość,10/1/2011,16,267923,FALSE
73,Za Miłość Mą - Remix,Za Miłość Mą,1/1/2009,29,211826,FALSE
74,Najarana Anka,Najarana Anka,1/1/2004,28,228388,FALSE
75,Na Fali - Remix,Bawidamek,1/1/2004,6,237374,FALSE
76,Za Miłość Mą,Bawidamek,1/1/2004,21,213603,FALSE
77,Playboy,Playboy,1/1/2002,7,188186,FALSE
78,Karolina,Karolina,1/1/2002,15,211121,FALSE
